,source,target,value
798,Raijin,Shikamaru,5
799,Kagetsu,Naruto,5
800,Kabuto,Kakashi,5
801,Boss,Idate,5
802,Cursed,Komei,5
803,Choji,Shadow,5
804,Hitsuji,U,5
805,Byakugan,Ranmaru,5
806,Guy,Shikamaru,5
807,ding-dong-ding,ponkan,5
808,Hotarubi,Natsuhi,5
809,Abate,Yakumo,5
810,Guy,The,5
811,Shino,the,5
812,Jirocho,Wasabi,5
813,Choji,Hokage,5
814,Kurama,Yakumo,5
815,Anbu,Hokage,5
816,Haruna,Ruiga,5
817,Jirobo,Sasuke,5
818,Shun,Yurinoshin,5
819,Shura,Todoroki,5
820,Kazekage,Kimimaro,5
821,Raiga,Sansho,5
822,Haruna,Shizune,5
823,Akamaru,Wolf,5
824,Fukusuke,Idate,5
825,Guy,Kurenai,5
826,lnu,saru,5
827,lnu,tori,5
828,Gato,Kakashi,5
829,Jiraiya,Kabuto,5
830,I-I,Neji,5
831,Neji,Uchiha,5
832,Fang,Hinata,5
833,Fang,Gaara,5
834,mi,saru,5
835,mi,tori,5
836,Naruto,Narutos,5
837,Tenten,a,5
838,Byakugan,Hyuga,5
839,Idate,Jirocho,5
840,Kayo,Naruto,5
841,Inu,U,5
842,Gaara,Kimimaro,5
843,Leaf,Naruto,5
844,Akahoshi,Yotaka,5
845,Hanabi,Hinata,5
846,Gama,Jiraiya,5
847,Leaf,Tsunade,5
848,Leaf,Sasuke,5
849,Ushi,lnu,5
850,Jigumo,Sakura,5
851,Ino,Mizuki,5
852,Mondai,Poccha,5
853,Inu,Mi,5
854,Ninja,Sagi,5
855,Orochimaru,Rasengan,5
856,Naruto,Onbaa,5
857,Jigumo,Naruto,5
858,Mi,Ne,5
859,Tori,U,5
860,Lee,Ranmaru,5
861,Akahoshi,Shadow,5
862,Jin,uma,5
863,Ninja,the,5
864,Iruka,Shikamaru,5
865,Jigumo,Sasame,5
866,Gamakichi,Naruto,5
867,Mi,Uma,5
868,U,Uma,5
869,Mi,Tori,5
870,Ninja,Sumaru,5
871,Harmonia,Lee,5
872,Fujin,Shikamaru,5
873,Ninja,Tazuna,5
874,Ninja,Shikamaru,5
875,Desert,Lee,4
876,Akamaru,Jutsu,4
877,Chunin,Kiba,4
878,Chunin,Mizuki,4
879,Akamaru,Kakashi,4
880,Akamaru,Genno,4
881,Sumaru,The,4
882,Shizune,Yakumo,4
883,Chunin,Hinata,4
884,Bushy,Yagura,4
885,Shizune,Ton,4
886,Ryonin,Teuchi,4
887,Naruto,Sharingan,4
888,Akio,Rasengan,4
889,Ding-dong,Ding-dong.,4
890,Udon,–,4
891,Naruto,Sazanami,4
892,Akimichi,Choji,4
893,Pervy,the,4
894,Ne,Sasuke,4
895,Byakugan,Lee,4
896,Bikochu,Naruto,4
897,Naruto,Yagura,4
898,Sarutobi,Sasuke,4
899,Akamaru,Ino,4
900,Mondai,The,4
901,Naruto,Yoroi,4
902,Rasengan,Sakura,4
903,Arashi,Sassme,4
904,Sasuke,Tatsu,4
905,Naruto,Natsuhiboshi,4
906,Sarutobi,Tsunade,4
907,Boss,Karashi,4
908,Boss,Jirocho,4
909,Choji,Kakashi,4
910,Neji,Sand,4
911,Choji,Janin,4
912,Neji,Shadow,4
913,Chakra,Sumaru,4
914,Zabuza,the,4
915,Sasame,The,4
916,Sasame,Tsunade,4
917,Billboard,Sakura,4
918,Choji,Sand,4
919,Burn,Kabuto,4
920,Akahoshi,Tsunade,4
921,Pervy,Toad,4
922,Chunin,Sakura,4
923,Tsunade,Yakumo,4
924,Naruto,jonin,4
925,Chunin,Yakumo,4
926,Ninja,Ryonin,4
927,Lee,Uchiha,4
928,Mai,Naruto,4
929,Chidori,Jutsu,4
930,Oli,Sasuke,4
931,Lee,Todoroki,4
932,hitsuji,tori,4
933,Mizukage,Zabuza,4
934,Lee,Yakumo,4
935,Neji,Yagura,4
936,Big,Sasuke,4
937,Choji,Chunin,4
938,hitsuji,ushi,4
939,Forge,Sasuke,4
940,Asuma,Sakura,4
941,Gaara,Jutsu,4
942,Neji,the,4
943,lnu,ushi,4
944,Sensei,Yagura,4
945,Chidori,Rasengan,4
946,Gaara,Jiraiya,4
947,Mi,U,4
948,Ninja,Tsunade,4
949,Asuma,Hinata,4
950,Sasuke,Transform,4
951,Ninja,Orochimaru,4
952,Orochimaru,Ton,4
953,Lightning,the,4
954,Ablaze,Choji,4
955,Satomi,Yakumo,4
956,Futa,Kagetsu,4
957,Sensei,Tsunade,4
958,B-Bushy,Sasuke,4
959,Arashi,Kamikiri,4
960,Abate,Kurenai,4
961,Menma,Shikamaru,4
962,Menma,Sasuke,4
963,Asuma,Kisame,4
964,-zu-ma-ki,Naruto,4
965,Asuma,Ton,4
966,tatsu,tori,4
